gender,education,occupation,not_on_time_rate,borrow_duration,borrow_duration_label,distance,price_range,pages_range,season,name
female,graduate degree,admin,0.2857142857142857,365.0,not on time,1.3788553907420036,high,medium,spring,multnomah county library sellwood moreland
male,others,blue collar,0.25,365.0,not on time,0.6658142680796615,medium,medium,summer,multnomah county library holgate
male,high school,blue collar,0.3333333333333333,365.0,not on time,1.8838711119387919,high,medium,summer,multnomah county library north portland
male,graduate degree,business,0.5625,365.0,not on time,1.528511380363991,very high,medium,summer,multnomah county library belmont
female,others,blue collar,0.18181818181818182,365.0,not on time,6.28827173536823,very high,medium,summer,multnomah county library woodstock
male,college,sales,0.5,365.0,not on time,4.340285893766637,medium,medium,summer,multnomah county library kenton
female,graduate degree,others,0.14285714285714285,365.0,not on time,11.006063766326175,very high,very large,summer,multnomah county library northwest
male,high school,tech,0.36,365.0,not on time,3.662344181975011,high,large,summer,multnomah county library
male,graduate degree,sales,0.2597402597402597,365.0,not on time,3.505242610399556,medium,medium,summer,multnomah county library sellwood moreland
male,college,others,0.5555555555555556,365.0,not on time,3.9782168865477026,very high,very large,summer,multnomah county library capitol hill
female,others,education,0.18181818181818182,365.0,not on time,3.548314255819306,medium,medium,summer,multnomah county library northwest
male,graduate degree,business,0.2857142857142857,365.0,not on time,1.7028567884760522,very high,large,summer,multnomah county library central
female,high school,blue collar,0.2,365.0,not on time,4.76641376212812,very high,large,summer,multnomah county library woodstock
male,high school,tech,0.6,365.0,not on time,5.138980139005901,high,large,summer,multnomah county library kenton
male,high school,others,0.4,365.0,not on time,13.391396500067355,high,very large,summer,friends of the multnomah county library
male,graduate degree,business,0.2857142857142857,365.0,not on time,6.081830424116316,medium,medium,summer,multnomah county library sellwood moreland
male,college,sales,0.5714285714285714,365.0,not on time,5.162033413454914,very high,medium,summer,multnomah county library hollywood library
male,high school,blue collar,0.36363636363636365,365.0,not on time,1.7194675152961854,low,small,summer,multnomah county library northwest
male,high school,others,0.16666666666666666,365.0,not on time,2.747699662413846,very high,very large,summer,multnomah county library
female,graduate degree,education,0.25,365.0,not on time,4.879695685189077,very high,medium,summer,multnomah county library
male,others,blue collar,0.25,365.0,not on time,0.5875027127692354,medium,medium,summer,multnomah county library albina
male,college,sales,0.375,365.0,not on time,5.355905034820601,very high,very large,summer,multnomah county library northwest
male,others,others,0.4166666666666667,365.0,not on time,4.469657769506529,very high,very large,autumn,multnomah county library albina
male,others,business,0.3333333333333333,365.0,not on time,9.03087961535555,medium,large,autumn,multnomah county library woodstock
male,others,business,0.17647058823529413,365.0,not on time,5.650951757011327,medium,medium,autumn,multnomah county library north portland
male,college,admin,0.4,365.0,not on time,6.287547375554175,medium,medium,autumn,multnomah county library holgate
male,high school,others,0.6,365.0,not on time,2.715205467320693,high,very large,autumn,multnomah county library hillsdale
female,college,sales,0.2857142857142857,365.0,not on time,3.574681253975612,medium,medium,autumn,multnomah county library hillsdale
female,high school,sales,0.42857142857142855,365.0,not on time,5.304912195985805,medium,medium,autumn,multnomah county library midland
male,graduate degree,education,0.5,365.0,not on time,9.628715411496737,very high,large,autumn,multnomah county library albina
female,college,sales,0.2,365.0,not on time,8.896953318401852,medium,medium,autumn,multnomah county library st johns
female,graduate degree,admin,0.25,365.0,not on time,1.592253830466359,medium,medium,autumn,multnomah county library
male,college,sales,0.3333333333333333,365.0,not on time,0.6507103039534455,medium,medium,autumn,multnomah county library capitol hill
female,graduate degree,admin,0.17647058823529413,365.0,not on time,5.5704712471388875,high,medium,autumn,multnomah county library albina
unknown,college,tech,0.1724137931034483,365.0,not on time,6.451608898573736,high,large,autumn,multnomah county library albina
female,others,sales,0.5,365.0,not on time,4.325997080225301,medium,medium,autumn,multnomah county library kenton
female,others,sales,0.2,365.0,not on time,3.390615886854687,very high,large,autumn,multnomah county library central
female,graduate degree,admin,0.5625,365.0,not on time,4.551982476631241,very high,very large,autumn,multnomah county library
male,high school,sales,0.23076923076923078,365.0,not on time,4.612414105699297,high,large,autumn,multnomah county library st johns
male,graduate degree,education,0.3,365.0,not on time,6.338952687121838,high,medium,autumn,multnomah county library holgate
male,graduate degree,business,0.3333333333333333,365.0,not on time,1.1327699290407185,low,small,autumn,friends of the multnomah county library
male,graduate degree,admin,0.36,365.0,not on time,7.637428723575454,high,large,autumn,multnomah county library albina
female,college,others,0.16666666666666666,365.0,not on time,6.755881893228147,high,large,autumn,multnomah county library north portland
female,high school,others,0.3333333333333333,365.0,not on time,6.216793816898223,very high,very large,winter,multnomah county library st johns
male,others,admin,0.2857142857142857,365.0,not on time,2.5892980217397157,medium,medium,winter,multnomah county library gregory heights
female,graduate degree,admin,0.23076923076923078,365.0,not on time,6.793252256042206,high,large,winter,multnomah county library kenton
female,college,business,0.25,365.0,not on time,9.289148318342551,medium,medium,winter,multnomah county library midland
male,high school,education,0.1111111111111111,365.0,not on time,6.978459989809709,high,medium,winter,multnomah county library
male,high school,blue collar,0.375,365.0,not on time,2.0144134156749076,high,large,winter,multnomah county library albina
female,others,education,0.5625,365.0,not on time,2.8446303248466096,very high,very large,winter,multnomah county library belmont
female,graduate degree,admin,0.2597402597402597,365.0,not on time,6.868175955875785,medium,medium,winter,multnomah county library kenton
male,college,admin,0.2,365.0,not on time,0.6385460903795189,high,large,winter,multnomah county library capitol hill
female,others,sales,0.5,365.0,not on time,7.947417346657196,high,large,winter,multnomah county library
male,graduate degree,sales,0.45454545454545453,365.0,not on time,1.8417587369056967,medium,small,winter,multnomah county library hillsdale
female,graduate degree,admin,0.125,365.0,not on time,1.781342275274278,high,large,winter,multnomah county library st johns
female,others,sales,0.3076923076923077,365.0,not on time,5.443367685420313,low,small,winter,multnomah county library hollywood library
male,college,sales,0.2597402597402597,8.0,on time,5.016638237791088,very high,large,winter,multnomah county library north portland
female,graduate degree,education,0.5,63.0,not on time,1.5837424275949008,medium,small,winter,multnomah county library holgate
female,college,tech,0.5,7.0,on time,2.2358467321560727,medium,small,winter,multnomah county library capitol hill
female,college,business,0.2,16.0,on time,5.273937160016266,medium,medium,winter,multnomah county library hillsdale
male,others,admin,0.2727272727272727,22.0,on time,3.368455862687528,very high,very large,winter,friends of the multnomah county library
female,others,sales,0.2222222222222222,57.0,not on time,2.44077425041905,medium,medium,winter,multnomah county library woodstock
female,graduate degree,tech,0.08333333333333333,15.0,on time,2.079709593472003,high,large,winter,multnomah county library hollywood library
female,high school,blue collar,0.2597402597402597,18.0,on time,4.986336388424826,medium,medium,winter,multnomah county library midland
unknown,college,business,0.6666666666666666,48.0,not on time,12.921176877754558,very high,very large,winter,multnomah county library
male,high school,business,0.0,24.0,on time,6.356685610038126,very high,very large,winter,multnomah county library
female,graduate degree,admin,0.07692307692307693,19.0,on time,8.520568874181572,medium,small,winter,multnomah county library north portland
male,others,sales,0.2,6.0,on time,1.7642901186753508,medium,very large,winter,multnomah county library woodstock
female,others,sales,0.14285714285714285,16.0,on time,5.408083406854271,very high,very large,winter,multnomah county library albina
male,graduate degree,admin,0.3,22.0,on time,4.05627393392041,low,large,winter,friends of the multnomah county library
female,high school,education,0.25,55.0,not on time,8.415771247814206,high,very large,winter,multnomah county library woodstock
female,high school,tech,0.15384615384615385,133.0,not on time,2.8686450392807514,high,medium,winter,multnomah county library sellwood moreland
male,others,others,0.5,339.0,not on time,5.4026622613336,medium,small,winter,multnomah county library north portland
male,high school,business,0.125,13.0,on time,3.209267540038655,high,large,winter,multnomah county library holgate
female,high school,others,0.18181818181818182,15.0,on time,5.619119544242755,medium,medium,winter,multnomah county library north portland
female,college,sales,0.3,12.0,on time,5.783688000198119,low,large,winter,multnomah county library woodstock
female,others,others,0.2,7.0,on time,7.437299061033559,low,medium,winter,multnomah county library
male,college,others,0.17647058823529413,23.0,on time,2.774004376058555,high,medium,winter,multnomah county library belmont
male,college,others,0.16666666666666666,20.0,on time,4.7804919733968045,very high,very large,winter,multnomah county library woodstock
male,others,tech,0.0,15.0,on time,11.047804597238697,very high,medium,winter,multnomah county library albina
male,others,admin,0.3076923076923077,114.0,not on time,6.398772322773877,very high,medium,winter,multnomah county library holgate
female,college,others,0.45454545454545453,149.0,not on time,2.4307513815260857,very high,very large,winter,multnomah county library woodstock
female,others,blue collar,0.3333333333333333,146.0,not on time,13.075306043365888,medium,large,winter,multnomah county library holgate
male,college,sales,0.18181818181818182,56.0,not on time,8.39918917900766,high,large,winter,multnomah county library northwest
male,graduate degree,blue collar,0.058823529411764705,7.0,on time,1.3999545936587745,medium,large,winter,multnomah county library woodstock
female,others,sales,0.1111111111111111,13.0,on time,2.338618230894246,medium,medium,winter,multnomah county library gregory heights
female,high school,tech,0.14285714285714285,223.0,not on time,7.704849421177791,medium,very large,winter,multnomah county library midland
male,graduate degree,sales,0.0,20.0,on time,3.5230380872350606,medium,medium,winter,multnomah county library hillsdale
male,others,sales,0.2,27.0,on time,2.872907709789988,medium,large,winter,multnomah county library hillsdale
male,graduate degree,tech,0.18181818181818182,21.0,on time,0.7010395283485209,high,medium,winter,multnomah county library sellwood moreland
male,high school,business,0.23076923076923078,65.0,not on time,8.470410868981855,high,large,winter,multnomah county library
female,high school,business,0.07692307692307693,16.0,on time,6.7242631635886045,medium,medium,winter,multnomah county library kenton
male,others,blue collar,0.4,15.0,on time,0.47054029448903256,very high,very large,winter,multnomah county library hillsdale
female,high school,blue collar,0.3333333333333333,11.0,on time,4.557307546027562,very high,very large,winter,multnomah county library albina
male,others,education,0.08333333333333333,8.0,on time,4.611606573563814,high,large,winter,multnomah county library
female,college,admin,0.16666666666666666,17.0,on time,3.9429228380571972,very high,very large,winter,multnomah county library st johns
female,graduate degree,blue collar,0.07692307692307693,19.0,on time,2.9491352328226963,low,small,winter,multnomah county library
male,graduate degree,education,0.3076923076923077,295.0,not on time,6.200588354128426,very high,medium,winter,multnomah county library
male,graduate degree,others,0.5625,58.0,not on time,12.500972152798152,very high,very large,winter,multnomah county library capitol hill
male,high school,tech,0.25,21.0,on time,7.544308749116575,low,small,winter,multnomah county library st johns
female,high school,education,0.08333333333333333,17.0,on time,5.202030710666143,high,large,winter,multnomah county library woodstock
female,others,tech,0.5625,8.0,on time,4.134731491157698,very high,medium,winter,multnomah county library
female,high school,business,0.0,26.0,on time,2.695739959751939,medium,medium,winter,multnomah county library albina
male,high school,blue collar,0.2,12.0,on time,14.162319170681057,medium,medium,winter,multnomah county library capitol hill
male,graduate degree,education,0.1875,25.0,on time,1.4394565205054166,very high,medium,winter,multnomah county library kenton
male,graduate degree,education,0.3,13.0,on time,5.058477318022846,medium,medium,winter,multnomah county library hillsdale
female,others,tech,0.16666666666666666,21.0,on time,4.57333365339365,medium,large,winter,friends of the multnomah county library
unknown,high school,sales,0.3333333333333333,229.0,not on time,6.348365963496177,high,very large,winter,multnomah county library st johns
female,high school,admin,0.5,27.0,on time,3.0377565940631914,very high,very large,winter,multnomah county library st johns
male,college,tech,0.2,20.0,on time,4.308654704633676,high,very large,winter,friends of the multnomah county library
female,graduate degree,education,0.1111111111111111,19.0,on time,3.950903945405192,low,small,winter,multnomah county library
female,others,tech,0.23529411764705882,18.0,on time,1.295418135609791,medium,medium,winter,multnomah county library central
female,graduate degree,admin,0.1111111111111111,19.0,on time,7.194836069190017,very high,very large,winter,multnomah county library
male,graduate degree,others,0.1724137931034483,10.0,on time,13.115187738489919,low,small,winter,multnomah county library woodstock
female,college,tech,0.375,8.0,on time,0.8091126300024071,very high,very large,winter,multnomah county library woodstock
male,graduate degree,others,0.36,5.0,on time,4.727852717193128,high,very large,winter,multnomah county library north portland
male,high school,business,0.25,23.0,on time,5.3276608735159785,low,small,winter,multnomah county library central
male,high school,others,0.3333333333333333,17.0,on time,2.8033194700476853,medium,medium,winter,multnomah county library midland
female,high school,others,0.3333333333333333,26.0,on time,3.5871907449807576,medium,medium,winter,multnomah county library
male,others,business,0.2,19.0,on time,1.4572747762019032,very high,medium,winter,multnomah county library belmont
male,graduate degree,education,0.16666666666666666,23.0,on time,2.500922189223489,medium,large,winter,multnomah county library sellwood moreland
male,high school,sales,0.6666666666666666,365.0,not on time,5.701954649290427,medium,large,winter,multnomah county library gregory heights
female,graduate degree,sales,0.16666666666666666,15.0,on time,6.646667292585411,high,large,winter,multnomah county library north portland
female,others,business,0.25,9.0,on time,1.8617309748838342,medium,medium,winter,friends of the multnomah county library
male,college,tech,0.2,5.0,on time,6.367021419593464,very high,medium,winter,multnomah county library north portland
male,others,blue collar,0.2857142857142857,13.0,on time,2.6788626437154246,medium,small,winter,multnomah county library sellwood moreland
male,graduate degree,sales,0.2857142857142857,100.0,not on time,2.122756020957257,medium,large,winter,multnomah county library northwest
female,others,business,0.3333333333333333,156.0,not on time,5.922640916649212,high,very large,winter,multnomah county library hollywood library
female,others,sales,0.2857142857142857,8.0,on time,7.93359756642313,medium,small,winter,multnomah county library northwest
male,others,business,0.2857142857142857,24.0,on time,1.7822352150472953,very high,very large,winter,multnomah county library st johns
male,college,blue collar,0.2727272727272727,11.0,on time,7.523007496809786,high,large,winter,multnomah county library
female,others,sales,0.17647058823529413,365.0,not on time,4.186314574823723,medium,medium,winter,multnomah county library
male,college,sales,0.25,14.0,on time,1.2334156759324757,low,small,winter,multnomah county library belmont
male,high school,tech,0.0,26.0,on time,8.280500334791807,medium,medium,winter,multnomah county library hollywood library
male,high school,others,0.25,12.0,on time,7.502150855440013,high,medium,winter,multnomah county library woodstock
female,others,blue collar,0.25,22.0,on time,5.997538003489358,medium,medium,winter,multnomah county library central
male,high school,tech,0.5,60.0,not on time,5.5069057260014125,high,large,winter,multnomah county library hollywood library
male,high school,others,0.09090909090909091,27.0,on time,3.0210689412067193,very high,very large,winter,multnomah county library woodstock
male,high school,admin,0.3076923076923077,26.0,on time,7.872560089732413,high,medium,winter,multnomah county library kenton
female,others,others,0.3333333333333333,54.0,not on time,11.308760368404224,high,very large,winter,friends of the multnomah county library
female,others,admin,0.6666666666666666,103.0,not on time,4.916664910632205,medium,large,winter,multnomah county library sellwood moreland
female,others,blue collar,0.36363636363636365,9.0,on time,4.760973092063536,low,small,winter,multnomah county library kenton
male,high school,business,0.0,5.0,on time,4.037053910880622,medium,medium,winter,multnomah county library woodstock
male,high school,others,0.5714285714285714,8.0,on time,7.076957250621882,very high,medium,winter,friends of the multnomah county library
female,others,blue collar,0.17647058823529413,5.0,on time,4.1311814877878295,medium,medium,winter,multnomah county library woodstock
male,college,education,0.2222222222222222,27.0,on time,5.001235626466718,high,large,winter,multnomah county library central
male,high school,others,0.1,8.0,on time,4.915338137102738,very high,large,winter,multnomah county library central
male,high school,sales,0.25,21.0,on time,4.028039247614096,medium,large,winter,multnomah county library belmont
male,high school,others,0.2,9.0,on time,2.39778286183731,very high,medium,winter,multnomah county library woodstock
female,graduate degree,others,0.1111111111111111,15.0,on time,2.490930776075843,medium,medium,winter,multnomah county library woodstock
female,college,others,0.42857142857142855,14.0,on time,0.7255449360395438,very high,large,winter,multnomah county library north portland
male,others,education,0.16666666666666666,8.0,on time,0.6949133134727474,very high,very large,winter,multnomah county library
male,college,sales,0.1111111111111111,11.0,on time,1.4653905962344254,medium,medium,winter,multnomah county library gregory heights
male,graduate degree,tech,0.5,24.0,on time,4.217000069977228,very high,large,winter,multnomah county library holgate
male,graduate degree,admin,0.2597402597402597,11.0,on time,2.8056053887531593,very high,very large,winter,multnomah county library belmont
male,high school,others,0.0,24.0,on time,1.8499810950767799,medium,medium,winter,multnomah county library sellwood moreland
female,college,business,0.5625,26.0,on time,5.916550715022,very high,very large,winter,multnomah county library north portland
female,high school,blue collar,0.36363636363636365,145.0,not on time,7.6569914764247455,low,small,winter,multnomah county library capitol hill
male,others,education,0.2,15.0,on time,2.81584482700811,very high,large,winter,multnomah county library holgate
female,graduate degree,admin,0.1111111111111111,7.0,on time,3.453981548330027,high,medium,winter,multnomah county library sellwood moreland
male,graduate degree,education,0.45454545454545453,22.0,on time,3.9429228380571972,medium,small,winter,multnomah county library st johns
female,college,tech,0.16666666666666666,11.0,on time,7.356424012011258,very high,very large,winter,multnomah county library northwest
male,high school,others,0.25,295.0,not on time,5.503215625920443,medium,large,winter,multnomah county library belmont
male,high school,others,0.18181818181818182,19.0,on time,0.671721308745299,medium,medium,winter,multnomah county library
female,college,education,0.23076923076923078,17.0,on time,4.8445699508101265,high,large,winter,multnomah county library northwest
male,college,admin,0.14285714285714285,9.0,on time,3.766668989856828,very high,very large,winter,multnomah county library capitol hill
male,others,admin,0.2597402597402597,14.0,on time,3.2341540141059903,high,medium,winter,multnomah county library holgate
female,high school,business,0.2,146.0,not on time,1.3233283855763902,very high,very large,winter,multnomah county library midland
female,others,blue collar,0.4,7.0,on time,6.295740609108398,very high,large,winter,multnomah county library
male,graduate degree,sales,0.2857142857142857,97.0,not on time,11.813532899476328,very high,large,winter,multnomah county library albina
female,college,blue collar,0.4444444444444444,16.0,on time,3.0772617628657932,very high,large,winter,multnomah county library midland
female,high school,blue collar,0.25,12.0,on time,3.5321504979135065,low,medium,winter,friends of the multnomah county library
male,others,education,0.4166666666666667,26.0,on time,0.2172741782957088,very high,very large,winter,multnomah county library capitol hill
female,others,sales,0.2597402597402597,10.0,on time,2.796875961234731,high,medium,winter,multnomah county library hollywood library
female,college,others,0.08333333333333333,173.0,not on time,15.689430586957915,high,large,winter,multnomah county library holgate
female,high school,sales,0.17647058823529413,25.0,on time,4.836600739935728,medium,medium,winter,multnomah county library belmont
female,others,business,0.25,26.0,on time,1.8322559746833629,low,medium,winter,multnomah county library north portland
male,high school,tech,0.2,25.0,on time,2.1329333911878576,medium,medium,winter,multnomah county library central
male,high school,sales,0.125,20.0,on time,1.5174182848899487,medium,medium,winter,multnomah county library capitol hill
male,others,education,0.4,17.0,on time,1.1999347600802366,high,very large,winter,multnomah county library capitol hill
female,others,business,0.36,16.0,on time,1.3771186682716159,high,very large,winter,multnomah county library hillsdale
female,others,sales,0.17647058823529413,27.0,on time,6.7328851252626984,medium,medium,winter,multnomah county library
male,college,business,0.14285714285714285,17.0,on time,0.6663536122227728,very high,very large,winter,multnomah county library capitol hill
female,graduate degree,admin,0.1111111111111111,21.0,on time,0.7383054931047027,high,medium,winter,multnomah county library capitol hill
male,others,others,0.15384615384615385,16.0,on time,2.357100406190275,medium,very large,winter,multnomah county library midland
male,high school,tech,0.0,17.0,on time,3.237657912156681,medium,medium,winter,multnomah county library
female,high school,blue collar,0.2222222222222222,19.0,on time,2.209369195364148,medium,medium,winter,multnomah county library gregory heights
male,college,admin,0.0,20.0,on time,3.031718209863857,very high,very large,winter,multnomah county library central
female,college,others,0.2,19.0,on time,0.8765493639948382,medium,medium,winter,multnomah county library northwest
female,others,blue collar,0.25,7.0,on time,2.01125069888667,low,medium,winter,multnomah county library midland
female,others,admin,0.36,6.0,on time,7.212637606980578,high,very large,winter,multnomah county library capitol hill
male,college,business,0.2597402597402597,9.0,on time,1.1492622653525415,very high,very large,winter,multnomah county library gregory heights
female,high school,business,0.07692307692307693,22.0,on time,4.335016077590055,medium,small,winter,multnomah county library kenton
female,graduate degree,admin,0.16666666666666666,21.0,on time,2.8136143356189267,high,very large,spring,multnomah county library northwest
female,college,others,0.36363636363636365,19.0,on time,4.979635162916449,medium,large,spring,multnomah county library belmont
male,college,others,0.3076923076923077,11.0,on time,4.482029397659746,medium,very large,spring,multnomah county library midland
female,graduate degree,sales,0.14285714285714285,15.0,on time,5.736276611248579,high,medium,spring,multnomah county library holgate
female,graduate degree,education,0.25,295.0,not on time,3.684228742733488,low,medium,spring,multnomah county library capitol hill
unknown,college,education,0.0,25.0,on time,3.9429228380571972,high,medium,spring,multnomah county library st johns
male,others,blue collar,0.125,17.0,on time,5.478268631744546,medium,medium,spring,multnomah county library woodstock
female,others,admin,0.18181818181818182,6.0,on time,9.478689817470052,high,medium,spring,multnomah county library capitol hill
female,high school,admin,0.23076923076923078,17.0,on time,3.110944961858988,high,large,spring,multnomah county library gregory heights
female,college,admin,0.2,27.0,on time,6.275189131644901,medium,medium,spring,multnomah county library central
male,high school,admin,0.4444444444444444,273.0,not on time,1.5436016722145443,very high,large,spring,multnomah county library
male,graduate degree,sales,0.625,360.0,not on time,4.131210116386321,very high,large,spring,multnomah county library north portland
female,others,others,0.5625,365.0,not on time,13.923347920349833,very high,very large,spring,friends of the multnomah county library
female,college,blue collar,0.0,12.0,on time,4.74302963526605,medium,medium,spring,multnomah county library northwest
female,college,business,0.25,12.0,on time,4.40108438828643,medium,small,spring,multnomah county library midland
female,others,admin,0.16666666666666666,153.0,not on time,8.60192795709943,medium,large,spring,multnomah county library hollywood library
female,graduate degree,admin,0.4166666666666667,210.0,not on time,5.121562473546553,very high,very large,spring,multnomah county library northwest
male,graduate degree,education,0.1724137931034483,24.0,on time,1.2125752825630747,low,small,spring,multnomah county library holgate
female,high school,business,0.16666666666666666,79.0,not on time,1.4437917837716725,medium,medium,spring,multnomah county library holgate
male,high school,business,0.5,144.0,not on time,3.568382726658892,high,very large,spring,multnomah county library woodstock
male,others,education,0.2857142857142857,84.0,not on time,15.123512554292812,very high,very large,spring,multnomah county library woodstock
male,college,business,0.18181818181818182,6.0,on time,1.53416631127447,high,large,spring,multnomah county library sellwood moreland
male,graduate degree,others,0.2597402597402597,12.0,on time,5.422359987676637,very high,large,spring,multnomah county library central
female,graduate degree,sales,0.16666666666666666,23.0,on time,3.9429228380571972,low,small,spring,multnomah county library st johns
male,others,others,0.23076923076923078,19.0,on time,6.56257977856793,medium,very large,spring,multnomah county library st johns
male,high school,blue collar,0.16666666666666666,13.0,on time,1.4593995236999187,medium,large,spring,multnomah county library kenton
male,college,blue collar,0.375,27.0,on time,3.3574949615087686,very high,very large,spring,friends of the multnomah county library
female,graduate degree,tech,0.16666666666666666,66.0,not on time,2.9350519555178862,high,medium,spring,multnomah county library central
female,others,education,0.0,7.0,on time,1.814407997361038,medium,medium,spring,friends of the multnomah county library
male,others,sales,0.4,12.0,on time,3.7481176021925817,very high,large,spring,multnomah county library kenton
female,others,sales,0.0,26.0,on time,5.032738992830395,medium,large,spring,multnomah county library holgate
male,high school,education,0.4,79.0,not on time,7.055560590436956,high,large,spring,multnomah county library gregory heights
male,college,admin,0.25,12.0,on time,3.838468946018742,low,medium,spring,multnomah county library
male,college,business,0.375,30.0,not on time,13.923347920349833,very high,very large,spring,friends of the multnomah county library
female,graduate degree,blue collar,0.1111111111111111,21.0,on time,2.5481549413899636,low,small,spring,multnomah county library belmont
female,graduate degree,sales,0.18181818181818182,134.0,not on time,2.4888180733772907,medium,medium,spring,multnomah county library north portland
female,others,sales,0.2857142857142857,13.0,on time,1.2843384070141024,high,large,spring,multnomah county library hollywood library
male,graduate degree,business,0.16666666666666666,14.0,on time,3.50882949199537,medium,medium,spring,multnomah county library midland
male,college,education,0.25,261.0,not on time,3.174757983867203,medium,medium,spring,multnomah county library gregory heights
male,graduate degree,business,0.3333333333333333,8.0,on time,2.1737400012556227,low,small,spring,multnomah county library albina
male,others,sales,0.15384615384615385,5.0,on time,0.49344043620258343,medium,very large,spring,multnomah county library
male,graduate degree,sales,0.07692307692307693,8.0,on time,16.735583149534147,medium,medium,spring,multnomah county library sellwood moreland
male,high school,tech,0.15384615384615385,5.0,on time,2.4720634449668544,medium,medium,spring,multnomah county library central
male,high school,tech,0.4444444444444444,16.0,on time,1.471748074054946,very high,large,spring,multnomah county library midland
male,college,tech,0.07692307692307693,13.0,on time,2.4163294504080732,medium,small,spring,multnomah county library central
male,others,tech,0.0,16.0,on time,1.3492999553963156,medium,medium,spring,multnomah county library belmont
male,graduate degree,admin,0.5454545454545454,18.0,on time,5.031512974406211,very high,very large,spring,multnomah county library midland
male,college,business,0.125,17.0,on time,5.867987887229781,high,very large,spring,multnomah county library gregory heights
male,college,admin,0.16666666666666666,32.0,not on time,4.1215032921226165,medium,large,spring,multnomah county library st johns
male,college,admin,0.15384615384615385,25.0,on time,3.9554094976173655,high,medium,spring,friends of the multnomah county library
male,graduate degree,tech,0.2,22.0,on time,5.706611419945857,medium,very large,spring,multnomah county library holgate
unknown,college,others,0.1875,22.0,on time,0.7475533948218406,very high,medium,spring,multnomah county library gregory heights
female,high school,education,0.0,18.0,on time,6.0866270399160545,very high,very large,spring,multnomah county library northwest
female,high school,business,0.18181818181818182,16.0,on time,3.937945556154819,very high,medium,spring,multnomah county library woodstock
male,others,education,0.18181818181818182,15.0,on time,6.0806344989267656,medium,medium,spring,multnomah county library sellwood moreland
male,others,others,0.16666666666666666,221.0,not on time,11.641101134816715,high,very large,spring,multnomah county library albina
female,college,others,0.25,7.0,on time,1.9043024547328764,low,medium,spring,multnomah county library woodstock
female,college,admin,0.1111111111111111,26.0,on time,7.925666682155816,medium,medium,spring,multnomah county library kenton
female,graduate degree,admin,0.0,8.0,on time,6.639174790208492,medium,medium,spring,multnomah county library northwest
female,college,admin,0.23529411764705882,157.0,not on time,9.256764510026434,medium,medium,spring,multnomah county library
male,high school,blue collar,0.0,26.0,on time,1.5387457455630456,medium,large,spring,multnomah county library north portland
unknown,graduate degree,sales,0.14285714285714285,9.0,on time,4.432986755783898,medium,medium,spring,multnomah county library sellwood moreland
female,graduate degree,others,0.18181818181818182,19.0,on time,5.531604207519787,medium,medium,spring,multnomah county library north portland
male,college,admin,0.25,16.0,on time,6.061617158678414,high,large,spring,multnomah county library central
female,others,education,0.06666666666666667,27.0,on time,5.7451319759084996,low,small,spring,multnomah county library northwest
male,high school,others,0.36363636363636365,21.0,on time,7.923227272873284,medium,large,spring,multnomah county library st johns
male,high school,blue collar,0.25,6.0,on time,0.7354620167743142,medium,small,spring,multnomah county library midland
